City,State,County,loc
HAMMOND,NY,SAINT LAWRENCE,"HAMMOND,NY"
HANNAWA FALLS,NY,SAINT LAWRENCE,"HANNAWA FALLS,NY"
HARRISVILLE,NY,LEWIS,"HARRISVILLE,NY"
HELENA,NY,SAINT LAWRENCE,"HELENA,NY"
HENDERSON,NY,JEFFERSON,"HENDERSON,NY"
HENDERSON HARBOR,NY,JEFFERSON,"HENDERSON HARBOR,NY"
HERMON,NY,SAINT LAWRENCE,"HERMON,NY"
HEUVELTON,NY,SAINT LAWRENCE,"HEUVELTON,NY"
HOGANSBURG,NY,FRANKLIN,"HOGANSBURG,NY"
LA FARGEVILLE,NY,JEFFERSON,"LA FARGEVILLE,NY"
LIMERICK,NY,JEFFERSON,"LIMERICK,NY"
LISBON,NY,SAINT LAWRENCE,"LISBON,NY"
LORRAINE,NY,JEFFERSON,"LORRAINE,NY"
MADRID,NY,SAINT LAWRENCE,"MADRID,NY"
MANNSVILLE,NY,JEFFERSON,"MANNSVILLE,NY"
MASSENA,NY,SAINT LAWRENCE,"MASSENA,NY"
MORRISTOWN,NY,SAINT LAWRENCE,"MORRISTOWN,NY"
NATURAL BRIDGE,NY,JEFFERSON,"NATURAL BRIDGE,NY"
NEWTON FALLS,NY,SAINT LAWRENCE,"NEWTON FALLS,NY"
NORFOLK,NY,SAINT LAWRENCE,"NORFOLK,NY"
NORWOOD,NY,SAINT LAWRENCE,"NORWOOD,NY"
OGDENSBURG,NY,SAINT LAWRENCE,"OGDENSBURG,NY"
OSWEGATCHIE,NY,SAINT LAWRENCE,"OSWEGATCHIE,NY"
OXBOW,NY,JEFFERSON,"OXBOW,NY"
PARISHVILLE,NY,SAINT LAWRENCE,"PARISHVILLE,NY"
PHILADELPHIA,NY,JEFFERSON,"PHILADELPHIA,NY"
PIERREPONT MANOR,NY,JEFFERSON,"PIERREPONT MANOR,NY"
PLESSIS,NY,JEFFERSON,"PLESSIS,NY"
POTSDAM,NY,SAINT LAWRENCE,"POTSDAM,NY"
PYRITES,NY,SAINT LAWRENCE,"PYRITES,NY"
RAYMONDVILLE,NY,SAINT LAWRENCE,"RAYMONDVILLE,NY"
REDWOOD,NY,JEFFERSON,"REDWOOD,NY"
RENSSELAER FALLS,NY,SAINT LAWRENCE,"RENSSELAER FALLS,NY"
RICHVILLE,NY,SAINT LAWRENCE,"RICHVILLE,NY"
RODMAN,NY,JEFFERSON,"RODMAN,NY"
ROOSEVELTOWN,NY,SAINT LAWRENCE,"ROOSEVELTOWN,NY"
RUSSELL,NY,SAINT LAWRENCE,"RUSSELL,NY"
SACKETS HARBOR,NY,JEFFERSON,"SACKETS HARBOR,NY"
SOUTH COLTON,NY,SAINT LAWRENCE,"SOUTH COLTON,NY"
STAR LAKE,NY,SAINT LAWRENCE,"STAR LAKE,NY"
THERESA,NY,JEFFERSON,"THERESA,NY"
THOUSAND ISLAND PARK,NY,JEFFERSON,"THOUSAND ISLAND PARK,NY"
THREE MILE BAY,NY,JEFFERSON,"THREE MILE BAY,NY"
WADDINGTON,NY,SAINT LAWRENCE,"WADDINGTON,NY"
WANAKENA,NY,SAINT LAWRENCE,"WANAKENA,NY"
WEST STOCKHOLM,NY,SAINT LAWRENCE,"WEST STOCKHOLM,NY"
WINTHROP,NY,SAINT LAWRENCE,"WINTHROP,NY"
AFTON,NY,CHENANGO,"AFTON,NY"
ANDES,NY,DELAWARE,"ANDES,NY"
APALACHIN,NY,TIOGA,"APALACHIN,NY"
BAINBRIDGE,NY,CHENANGO,"BAINBRIDGE,NY"
BARTON,NY,TIOGA,"BARTON,NY"
BERKSHIRE,NY,TIOGA,"BERKSHIRE,NY"
BIBLE SCHOOL PARK,NY,BROOME,"BIBLE SCHOOL PARK,NY"
BLODGETT MILLS,NY,CORTLAND,"BLODGETT MILLS,NY"
BLOOMVILLE,NY,DELAWARE,"BLOOMVILLE,NY"
BOVINA CENTER,NY,DELAWARE,"BOVINA CENTER,NY"
CANDOR,NY,TIOGA,"CANDOR,NY"
CASTLE CREEK,NY,BROOME,"CASTLE CREEK,NY"
CHENANGO BRIDGE,NY,BROOME,"CHENANGO BRIDGE,NY"
CHENANGO FORKS,NY,BROOME,"CHENANGO FORKS,NY"
COLLIERSVILLE,NY,OTSEGO,"COLLIERSVILLE,NY"
CONKLIN,NY,BROOME,"CONKLIN,NY"
CORBETTSVILLE,NY,BROOME,"CORBETTSVILLE,NY"
DAVENPORT,NY,DELAWARE,"DAVENPORT,NY"
DAVENPORT CENTER,NY,DELAWARE,"DAVENPORT CENTER,NY"
DELANCEY,NY,DELAWARE,"DELANCEY,NY"
DELHI,NY,DELAWARE,"DELHI,NY"
DEPOSIT,NY,BROOME,"DEPOSIT,NY"
DOWNSVILLE,NY,DELAWARE,"DOWNSVILLE,NY"
EAST BRANCH,NY,DELAWARE,"EAST BRANCH,NY"
EAST MEREDITH,NY,DELAWARE,"EAST MEREDITH,NY"
EAST PHARSALIA,NY,CHENANGO,"EAST PHARSALIA,NY"
ENDICOTT,NY,BROOME,"ENDICOTT,NY"
ENDWELL,NY,BROOME,"ENDWELL,NY"
FISHS EDDY,NY,DELAWARE,"FISHS EDDY,NY"
FRANKLIN,NY,DELAWARE,"FRANKLIN,NY"
GILBERTSVILLE,NY,OTSEGO,"GILBERTSVILLE,NY"
GLEN AUBREY,NY,BROOME,"GLEN AUBREY,NY"
GREENE,NY,CHENANGO,"GREENE,NY"
GUILFORD,NY,CHENANGO,"GUILFORD,NY"
HAMDEN,NY,DELAWARE,"HAMDEN,NY"
HANCOCK,NY,DELAWARE,"HANCOCK,NY"
HARFORD,NY,CORTLAND,"HARFORD,NY"
HARPERSFIELD,NY,DELAWARE,"HARPERSFIELD,NY"
HARPURSVILLE,NY,BROOME,"HARPURSVILLE,NY"
HOBART,NY,DELAWARE,"HOBART,NY"
JOHNSON CITY,NY,BROOME,"JOHNSON CITY,NY"
KILLAWOG,NY,BROOME,"KILLAWOG,NY"
KIRKWOOD,NY,BROOME,"KIRKWOOD,NY"
LAURENS,NY,OTSEGO,"LAURENS,NY"
LISLE,NY,BROOME,"LISLE,NY"
MC DONOUGH,NY,CHENANGO,"MC DONOUGH,NY"
MAINE,NY,BROOME,"MAINE,NY"
MARATHON,NY,CORTLAND,"MARATHON,NY"
MASONVILLE,NY,DELAWARE,"MASONVILLE,NY"
MERIDALE,NY,DELAWARE,"MERIDALE,NY"
MILFORD,NY,OTSEGO,"MILFORD,NY"
MORRIS,NY,OTSEGO,"MORRIS,NY"
MOUNT UPTON,NY,CHENANGO,"MOUNT UPTON,NY"
MOUNT VISION,NY,OTSEGO,"MOUNT VISION,NY"
NEWARK VALLEY,NY,TIOGA,"NEWARK VALLEY,NY"
NICHOLS,NY,TIOGA,"NICHOLS,NY"
NINEVEH,NY,BROOME,"NINEVEH,NY"
NORTH NORWICH,NY,CHENANGO,"NORTH NORWICH,NY"
NORWICH,NY,CHENANGO,"NORWICH,NY"
ONEONTA,NY,OTSEGO,"ONEONTA,NY"
OTEGO,NY,OTSEGO,"OTEGO,NY"
OUAQUAGA,NY,BROOME,"OUAQUAGA,NY"
OWEGO,NY,TIOGA,"OWEGO,NY"
OXFORD,NY,CHENANGO,"OXFORD,NY"
PLYMOUTH,NY,CHENANGO,"PLYMOUTH,NY"
PORT CRANE,NY,BROOME,"PORT CRANE,NY"
PORTLANDVILLE,NY,OTSEGO,"PORTLANDVILLE,NY"
RICHFORD,NY,TIOGA,"RICHFORD,NY"
SIDNEY,NY,DELAWARE,"SIDNEY,NY"
SIDNEY CENTER,NY,DELAWARE,"SIDNEY CENTER,NY"
SMITHBORO,NY,TIOGA,"SMITHBORO,NY"
SMITHVILLE FLATS,NY,CHENANGO,"SMITHVILLE FLATS,NY"
SOUTH KORTRIGHT,NY,DELAWARE,"SOUTH KORTRIGHT,NY"
SOUTH NEW BERLIN,NY,CHENANGO,"SOUTH NEW BERLIN,NY"
SOUTH PLYMOUTH,NY,CHENANGO,"SOUTH PLYMOUTH,NY"
TIOGA CENTER,NY,TIOGA,"TIOGA CENTER,NY"
TREADWELL,NY,DELAWARE,"TREADWELL,NY"
TROUT CREEK,NY,DELAWARE,"TROUT CREEK,NY"
TUNNEL,NY,BROOME,"TUNNEL,NY"
UNADILLA,NY,OTSEGO,"UNADILLA,NY"
VESTAL,NY,BROOME,"VESTAL,NY"
WALTON,NY,DELAWARE,"WALTON,NY"
WELLS BRIDGE,NY,OTSEGO,"WELLS BRIDGE,NY"
WEST DAVENPORT,NY,DELAWARE,"WEST DAVENPORT,NY"
WEST ONEONTA,NY,OTSEGO,"WEST ONEONTA,NY"
WHITNEY POINT,NY,BROOME,"WHITNEY POINT,NY"
WILLET,NY,CORTLAND,"WILLET,NY"
WILLSEYVILLE,NY,TIOGA,"WILLSEYVILLE,NY"
WINDSOR,NY,BROOME,"WINDSOR,NY"
BINGHAMTON,NY,BROOME,"BINGHAMTON,NY"
AKRON,NY,ERIE,"AKRON,NY"
ALDEN,NY,ERIE,"ALDEN,NY"
ALEXANDER,NY,GENESEE,"ALEXANDER,NY"
ANGOLA,NY,ERIE,"ANGOLA,NY"
APPLETON,NY,NIAGARA,"APPLETON,NY"
ARCADE,NY,WYOMING,"ARCADE,NY"
ATHOL SPRINGS,NY,ERIE,"ATHOL SPRINGS,NY"
ATTICA,NY,WYOMING,"ATTICA,NY"
BARKER,NY,NIAGARA,"BARKER,NY"
BASOM,NY,GENESEE,"BASOM,NY"
BATAVIA,NY,GENESEE,"BATAVIA,NY"
BLISS,NY,WYOMING,"BLISS,NY"
BOSTON,NY,ERIE,"BOSTON,NY"
BOWMANSVILLE,NY,ERIE,"BOWMANSVILLE,NY"
BRANT,NY,ERIE,"BRANT,NY"
BURT,NY,NIAGARA,"BURT,NY"
CENTERVILLE,NY,ALLEGANY,"CENTERVILLE,NY"
CHAFFEE,NY,ERIE,"CHAFFEE,NY"
CLARENCE,NY,ERIE,"CLARENCE,NY"
CLARENCE CENTER,NY,ERIE,"CLARENCE CENTER,NY"
COLDEN,NY,ERIE,"COLDEN,NY"
COLLINS,NY,ERIE,"COLLINS,NY"
COLLINS CENTER,NY,ERIE,"COLLINS CENTER,NY"
CORFU,NY,GENESEE,"CORFU,NY"
COWLESVILLE,NY,WYOMING,"COWLESVILLE,NY"
CRITTENDEN,NY,ERIE,"CRITTENDEN,NY"
DALE,NY,WYOMING,"DALE,NY"
DARIEN CENTER,NY,GENESEE,"DARIEN CENTER,NY"
DAYTON,NY,CATTARAUGUS,"DAYTON,NY"
DELEVAN,NY,CATTARAUGUS,"DELEVAN,NY"
DEPEW,NY,ERIE,"DEPEW,NY"
DERBY,NY,ERIE,"DERBY,NY"
DUNKIRK,NY,CHAUTAUQUA,"DUNKIRK,NY"
EAST AMHERST,NY,ERIE,"EAST AMHERST,NY"
EAST AURORA,NY,ERIE,"EAST AURORA,NY"
EAST BETHANY,NY,GENESEE,"EAST BETHANY,NY"
EAST CONCORD,NY,ERIE,"EAST CONCORD,NY"
EAST PEMBROKE,NY,GENESEE,"EAST PEMBROKE,NY"
EDEN,NY,ERIE,"EDEN,NY"
ELBA,NY,GENESEE,"ELBA,NY"
ELMA,NY,ERIE,"ELMA,NY"
FARMERSVILLE STATION,NY,CATTARAUGUS,"FARMERSVILLE STATION,NY"
FARNHAM,NY,ERIE,"FARNHAM,NY"
FORESTVILLE,NY,CHAUTAUQUA,"FORESTVILLE,NY"
FREDONIA,NY,CHAUTAUQUA,"FREDONIA,NY"
FREEDOM,NY,CATTARAUGUS,"FREEDOM,NY"
GAINESVILLE,NY,WYOMING,"GAINESVILLE,NY"
GASPORT,NY,NIAGARA,"GASPORT,NY"
GETZVILLE,NY,ERIE,"GETZVILLE,NY"
GLENWOOD,NY,ERIE,"GLENWOOD,NY"
GOWANDA,NY,CATTARAUGUS,"GOWANDA,NY"
GRAND ISLAND,NY,ERIE,"GRAND ISLAND,NY"
HAMBURG,NY,ERIE,"HAMBURG,NY"
HOLLAND,NY,ERIE,"HOLLAND,NY"
IRVING,NY,CHAUTAUQUA,"IRVING,NY"
JAVA CENTER,NY,WYOMING,"JAVA CENTER,NY"
JAVA VILLAGE,NY,WYOMING,"JAVA VILLAGE,NY"
LAKE VIEW,NY,ERIE,"LAKE VIEW,NY"
LANCASTER,NY,ERIE,"LANCASTER,NY"
LAWTONS,NY,ERIE,"LAWTONS,NY"
LEWISTON,NY,NIAGARA,"LEWISTON,NY"
LOCKPORT,NY,NIAGARA,"LOCKPORT,NY"
LYNDONVILLE,NY,ORLEANS,"LYNDONVILLE,NY"
MACHIAS,NY,CATTARAUGUS,"MACHIAS,NY"
MARILLA,NY,ERIE,"MARILLA,NY"
MEDINA,NY,ORLEANS,"MEDINA,NY"
MIDDLEPORT,NY,NIAGARA,"MIDDLEPORT,NY"
MODEL CITY,NY,NIAGARA,"MODEL CITY,NY"
NEWFANE,NY,NIAGARA,"NEWFANE,NY"
NIAGARA UNIVERSITY,NY,NIAGARA,"NIAGARA UNIVERSITY,NY"
NORTH BOSTON,NY,ERIE,"NORTH BOSTON,NY"
NORTH COLLINS,NY,ERIE,"NORTH COLLINS,NY"
NORTH EVANS,NY,ERIE,"NORTH EVANS,NY"
NORTH JAVA,NY,WYOMING,"NORTH JAVA,NY"
NORTH TONAWANDA,NY,NIAGARA,"NORTH TONAWANDA,NY"
OAKFIELD,NY,GENESEE,"OAKFIELD,NY"
OLCOTT,NY,NIAGARA,"OLCOTT,NY"
ORCHARD PARK,NY,ERIE,"ORCHARD PARK,NY"
PERRYSBURG,NY,CATTARAUGUS,"PERRYSBURG,NY"
PIKE,NY,WYOMING,"PIKE,NY"
RANSOMVILLE,NY,NIAGARA,"RANSOMVILLE,NY"
SANBORN,NY,NIAGARA,"SANBORN,NY"
SANDUSKY,NY,CATTARAUGUS,"SANDUSKY,NY"
SARDINIA,NY,ERIE,"SARDINIA,NY"
SHERIDAN,NY,CHAUTAUQUA,"SHERIDAN,NY"
SILVER CREEK,NY,CHAUTAUQUA,"SILVER CREEK,NY"
SOUTH DAYTON,NY,CATTARAUGUS,"SOUTH DAYTON,NY"
SOUTH WALES,NY,ERIE,"SOUTH WALES,NY"
SPRING BROOK,NY,ERIE,"SPRING BROOK,NY"
SPRINGVILLE,NY,ERIE,"SPRINGVILLE,NY"
STAFFORD,NY,GENESEE,"STAFFORD,NY"
STELLA NIAGARA,NY,NIAGARA,"STELLA NIAGARA,NY"
STRYKERSVILLE,NY,WYOMING,"STRYKERSVILLE,NY"
TONAWANDA,NY,ERIE,"TONAWANDA,NY"
VAN BUREN POINT,NY,CHAUTAUQUA,"VAN BUREN POINT,NY"
VARYSBURG,NY,WYOMING,"VARYSBURG,NY"
VERSAILLES,NY,CATTARAUGUS,"VERSAILLES,NY"
WALES CENTER,NY,ERIE,"WALES CENTER,NY"
WEST FALLS,NY,ERIE,"WEST FALLS,NY"
WEST VALLEY,NY,CATTARAUGUS,"WEST VALLEY,NY"
WILSON,NY,NIAGARA,"WILSON,NY"
YORKSHIRE,NY,CATTARAUGUS,"YORKSHIRE,NY"
YOUNGSTOWN,NY,NIAGARA,"YOUNGSTOWN,NY"
BUFFALO,NY,ERIE,"BUFFALO,NY"
NIAGARA FALLS,NY,NIAGARA,"NIAGARA FALLS,NY"
ADAMS BASIN,NY,MONROE,"ADAMS BASIN,NY"
ALBION,NY,ORLEANS,"ALBION,NY"
ALTON,NY,WAYNE,"ALTON,NY"
AVON,NY,LIVINGSTON,"AVON,NY"
BELLONA,NY,YATES,"BELLONA,NY"
BERGEN,NY,GENESEE,"BERGEN,NY"
BRANCHPORT,NY,YATES,"BRANCHPORT,NY"
BROCKPORT,NY,MONROE,"BROCKPORT,NY"
BYRON,NY,GENESEE,"BYRON,NY"
CALEDONIA,NY,LIVINGSTON,"CALEDONIA,NY"
CANANDAIGUA,NY,ONTARIO,"CANANDAIGUA,NY"
FARMINGTON,NY,ONTARIO,"FARMINGTON,NY"
CASTILE,NY,WYOMING,"CASTILE,NY"
CHURCHVILLE,NY,MONROE,"CHURCHVILLE,NY"
CLARENDON,NY,ORLEANS,"CLARENDON,NY"
CLARKSON,NY,MONROE,"CLARKSON,NY"
CLIFTON SPRINGS,NY,ONTARIO,"CLIFTON SPRINGS,NY"
CLYDE,NY,WAYNE,"CLYDE,NY"
CONESUS,NY,LIVINGSTON,"CONESUS,NY"
DANSVILLE,NY,LIVINGSTON,"DANSVILLE,NY"
DRESDEN,NY,YATES,"DRESDEN,NY"
EAST BLOOMFIELD,NY,ONTARIO,"EAST BLOOMFIELD,NY"
EAST ROCHESTER,NY,MONROE,"EAST ROCHESTER,NY"
EAST WILLIAMSON,NY,WAYNE,"EAST WILLIAMSON,NY"
FAIRPORT,NY,MONROE,"FAIRPORT,NY"
FANCHER,NY,ORLEANS,"FANCHER,NY"
FISHERS,NY,ONTARIO,"FISHERS,NY"
GENESEO,NY,LIVINGSTON,"GENESEO,NY"
GENEVA,NY,ONTARIO,"GENEVA,NY"
GORHAM,NY,ONTARIO,"GORHAM,NY"
GROVELAND,NY,LIVINGSTON,"GROVELAND,NY"
HALL,NY,ONTARIO,"HALL,NY"
HAMLIN,NY,MONROE,"HAMLIN,NY"
HEMLOCK,NY,LIVINGSTON,"HEMLOCK,NY"
HENRIETTA,NY,MONROE,"HENRIETTA,NY"
HILTON,NY,MONROE,"HILTON,NY"
BLOOMFIELD,NY,ONTARIO,"BLOOMFIELD,NY"
HOLLEY,NY,ORLEANS,"HOLLEY,NY"
HONEOYE,NY,ONTARIO,"HONEOYE,NY"
HONEOYE FALLS,NY,MONROE,"HONEOYE FALLS,NY"
IONIA,NY,ONTARIO,"IONIA,NY"
KENDALL,NY,ORLEANS,"KENDALL,NY"
KENT,NY,ORLEANS,"KENT,NY"
KEUKA PARK,NY,YATES,"KEUKA PARK,NY"
KNOWLESVILLE,NY,ORLEANS,"KNOWLESVILLE,NY"
LAKEVILLE,NY,LIVINGSTON,"LAKEVILLE,NY"
LEICESTER,NY,LIVINGSTON,"LEICESTER,NY"
LE ROY,NY,GENESEE,"LE ROY,NY"
LIMA,NY,LIVINGSTON,"LIMA,NY"
LINWOOD,NY,GENESEE,"LINWOOD,NY"
LIVONIA,NY,LIVINGSTON,"LIVONIA,NY"
LIVONIA CENTER,NY,LIVINGSTON,"LIVONIA CENTER,NY"
LYONS,NY,WAYNE,"LYONS,NY"
MACEDON,NY,WAYNE,"MACEDON,NY"
MANCHESTER,NY,ONTARIO,"MANCHESTER,NY"
MARION,NY,WAYNE,"MARION,NY"
MENDON,NY,MONROE,"MENDON,NY"
MIDDLESEX,NY,YATES,"MIDDLESEX,NY"
MORTON,NY,MONROE,"MORTON,NY"
MOUNT MORRIS,NY,LIVINGSTON,"MOUNT MORRIS,NY"
MUMFORD,NY,MONROE,"MUMFORD,NY"
NAPLES,NY,ONTARIO,"NAPLES,NY"
NEWARK,NY,WAYNE,"NEWARK,NY"
NORTH CHILI,NY,MONROE,"NORTH CHILI,NY"
NORTH GREECE,NY,MONROE,"NORTH GREECE,NY"
NORTH ROSE,NY,WAYNE,"NORTH ROSE,NY"
NUNDA,NY,LIVINGSTON,"NUNDA,NY"
OAKS CORNERS,NY,ONTARIO,"OAKS CORNERS,NY"
ONTARIO,NY,WAYNE,"ONTARIO,NY"
ONTARIO CENTER,NY,WAYNE,"ONTARIO CENTER,NY"
OVID,NY,SENECA,"OVID,NY"
PALMYRA,NY,WAYNE,"PALMYRA,NY"
PAVILION,NY,GENESEE,"PAVILION,NY"
PENFIELD,NY,MONROE,"PENFIELD,NY"
PENN YAN,NY,YATES,"PENN YAN,NY"
PERKINSVILLE,NY,STEUBEN,"PERKINSVILLE,NY"
PERRY,NY,WYOMING,"PERRY,NY"
PHELPS,NY,ONTARIO,"PHELPS,NY"
PIFFARD,NY,LIVINGSTON,"PIFFARD,NY"
PITTSFORD,NY,MONROE,"PITTSFORD,NY"
PORTAGEVILLE,NY,WYOMING,"PORTAGEVILLE,NY"
PORT GIBSON,NY,ONTARIO,"PORT GIBSON,NY"
PULTNEYVILLE,NY,WAYNE,"PULTNEYVILLE,NY"
RETSOF,NY,LIVINGSTON,"RETSOF,NY"
ROMULUS,NY,SENECA,"ROMULUS,NY"
ROSE,NY,WAYNE,"ROSE,NY"
RUSH,NY,MONROE,"RUSH,NY"
RUSHVILLE,NY,YATES,"RUSHVILLE,NY"
SCOTTSBURG,NY,LIVINGSTON,"SCOTTSBURG,NY"
SCOTTSVILLE,NY,MONROE,"SCOTTSVILLE,NY"
SENECA CASTLE,NY,ONTARIO,"SENECA CASTLE,NY"
SHORTSVILLE,NY,ONTARIO,"SHORTSVILLE,NY"
SILVER LAKE,NY,WYOMING,"SILVER LAKE,NY"
SILVER SPRINGS,NY,WYOMING,"SILVER SPRINGS,NY"
SODUS,NY,WAYNE,"SODUS,NY"
SODUS POINT,NY,WAYNE,"SODUS POINT,NY"
SONYEA,NY,LIVINGSTON,"SONYEA,NY"
SOUTH BYRON,NY,GENESEE,"SOUTH BYRON,NY"
SOUTH LIMA,NY,LIVINGSTON,"SOUTH LIMA,NY"
SPENCERPORT,NY,MONROE,"SPENCERPORT,NY"
SPRINGWATER,NY,LIVINGSTON,"SPRINGWATER,NY"
STANLEY,NY,ONTARIO,"STANLEY,NY"
UNION HILL,NY,WAYNE,"UNION HILL,NY"
VICTOR,NY,ONTARIO,"VICTOR,NY"
WALWORTH,NY,WAYNE,"WALWORTH,NY"
WARSAW,NY,WYOMING,"WARSAW,NY"
WATERPORT,NY,ORLEANS,"WATERPORT,NY"
WAYLAND,NY,STEUBEN,"WAYLAND,NY"
WEBSTER,NY,MONROE,"WEBSTER,NY"
WEST BLOOMFIELD,NY,ONTARIO,"WEST BLOOMFIELD,NY"
WEST HENRIETTA,NY,MONROE,"WEST HENRIETTA,NY"
WILLARD,NY,SENECA,"WILLARD,NY"
WILLIAMSON,NY,WAYNE,"WILLIAMSON,NY"
WOLCOTT,NY,WAYNE,"WOLCOTT,NY"
WYOMING,NY,WYOMING,"WYOMING,NY"
YORK,NY,LIVINGSTON,"YORK,NY"
ROCHESTER,NY,MONROE,"ROCHESTER,NY"
JAMESTOWN,NY,CHAUTAUQUA,"JAMESTOWN,NY"
ALLEGANY,NY,CATTARAUGUS,"ALLEGANY,NY"
ALLENTOWN,NY,ALLEGANY,"ALLENTOWN,NY"
ALMA,NY,ALLEGANY,"ALMA,NY"
ANGELICA,NY,ALLEGANY,"ANGELICA,NY"
ASHVILLE,NY,CHAUTAUQUA,"ASHVILLE,NY"
BELFAST,NY,ALLEGANY,"BELFAST,NY"
BEMUS POINT,NY,CHAUTAUQUA,"BEMUS POINT,NY"
BLACK CREEK,NY,ALLEGANY,"BLACK CREEK,NY"
BOLIVAR,NY,ALLEGANY,"BOLIVAR,NY"
BROCTON,NY,CHAUTAUQUA,"BROCTON,NY"
CANEADEA,NY,ALLEGANY,"CANEADEA,NY"
CASSADAGA,NY,CHAUTAUQUA,"CASSADAGA,NY"
CATTARAUGUS,NY,CATTARAUGUS,"CATTARAUGUS,NY"
CELORON,NY,CHAUTAUQUA,"CELORON,NY"
CERES,NY,ALLEGANY,"CERES,NY"
CHAUTAUQUA,NY,CHAUTAUQUA,"CHAUTAUQUA,NY"
CHERRY CREEK,NY,CHAUTAUQUA,"CHERRY CREEK,NY"
CLYMER,NY,CHAUTAUQUA,"CLYMER,NY"
CONEWANGO VALLEY,NY,CATTARAUGUS,"CONEWANGO VALLEY,NY"
CUBA,NY,ALLEGANY,"CUBA,NY"
DEWITTVILLE,NY,CHAUTAUQUA,"DEWITTVILLE,NY"
EAST OTTO,NY,CATTARAUGUS,"EAST OTTO,NY"
EAST RANDOLPH,NY,CATTARAUGUS,"EAST RANDOLPH,NY"
ELLICOTTVILLE,NY,CATTARAUGUS,"ELLICOTTVILLE,NY"
ELLINGTON,NY,CHAUTAUQUA,"ELLINGTON,NY"
FALCONER,NY,CHAUTAUQUA,"FALCONER,NY"
FILLMORE,NY,ALLEGANY,"FILLMORE,NY"
FINDLEY LAKE,NY,CHAUTAUQUA,"FINDLEY LAKE,NY"
FRANKLINVILLE,NY,CATTARAUGUS,"FRANKLINVILLE,NY"
FREWSBURG,NY,CHAUTAUQUA,"FREWSBURG,NY"
FRIENDSHIP,NY,ALLEGANY,"FRIENDSHIP,NY"
GERRY,NY,CHAUTAUQUA,"GERRY,NY"
GREAT VALLEY,NY,CATTARAUGUS,"GREAT VALLEY,NY"
GREENHURST,NY,CHAUTAUQUA,"GREENHURST,NY"
HINSDALE,NY,CATTARAUGUS,"HINSDALE,NY"
HOUGHTON,NY,ALLEGANY,"HOUGHTON,NY"
HUME,NY,ALLEGANY,"HUME,NY"
KENNEDY,NY,CHAUTAUQUA,"KENNEDY,NY"
KILL BUCK,NY,CATTARAUGUS,"KILL BUCK,NY"
LAKEWOOD,NY,CHAUTAUQUA,"LAKEWOOD,NY"
LEON,NY,CATTARAUGUS,"LEON,NY"
LILY DALE,NY,CHAUTAUQUA,"LILY DALE,NY"
LIMESTONE,NY,CATTARAUGUS,"LIMESTONE,NY"
LITTLE GENESEE,NY,ALLEGANY,"LITTLE GENESEE,NY"
LITTLE VALLEY,NY,CATTARAUGUS,"LITTLE VALLEY,NY"
MAPLE SPRINGS,NY,CHAUTAUQUA,"MAPLE SPRINGS,NY"
MAYVILLE,NY,CHAUTAUQUA,"MAYVILLE,NY"
NIOBE,NY,CHAUTAUQUA,"NIOBE,NY"
OLEAN,NY,CATTARAUGUS,"OLEAN,NY"
OTTO,NY,CATTARAUGUS,"OTTO,NY"
PANAMA,NY,CHAUTAUQUA,"PANAMA,NY"
PORTLAND,NY,CHAUTAUQUA,"PORTLAND,NY"
PORTVILLE,NY,CATTARAUGUS,"PORTVILLE,NY"
RANDOLPH,NY,CATTARAUGUS,"RANDOLPH,NY"
RICHBURG,NY,ALLEGANY,"RICHBURG,NY"
RIPLEY,NY,CHAUTAUQUA,"RIPLEY,NY"
RUSHFORD,NY,ALLEGANY,"RUSHFORD,NY"
SAINT BONAVENTURE,NY,CATTARAUGUS,"SAINT BONAVENTURE,NY"
SALAMANCA,NY,CATTARAUGUS,"SALAMANCA,NY"
SHERMAN,NY,CHAUTAUQUA,"SHERMAN,NY"
SINCLAIRVILLE,NY,CHAUTAUQUA,"SINCLAIRVILLE,NY"
STEAMBURG,NY,CATTARAUGUS,"STEAMBURG,NY"
STOCKTON,NY,CHAUTAUQUA,"STOCKTON,NY"
STOW,NY,CHAUTAUQUA,"STOW,NY"
WEST CLARKSVILLE,NY,ALLEGANY,"WEST CLARKSVILLE,NY"
WESTFIELD,NY,CHAUTAUQUA,"WESTFIELD,NY"
WESTONS MILLS,NY,CATTARAUGUS,"WESTONS MILLS,NY"
ADDISON,NY,STEUBEN,"ADDISON,NY"
ALFRED,NY,ALLEGANY,"ALFRED,NY"
ALFRED STATION,NY,ALLEGANY,"ALFRED STATION,NY"
ALMOND,NY,ALLEGANY,"ALMOND,NY"
ALPINE,NY,SCHUYLER,"ALPINE,NY"
ANDOVER,NY,ALLEGANY,"ANDOVER,NY"
ARKPORT,NY,STEUBEN,"ARKPORT,NY"
ATLANTA,NY,STEUBEN,"ATLANTA,NY"
AVOCA,NY,STEUBEN,"AVOCA,NY"
BATH,NY,STEUBEN,"BATH,NY"
BEAVER DAMS,NY,SCHUYLER,"BEAVER DAMS,NY"
BELMONT,NY,ALLEGANY,"BELMONT,NY"
BIG FLATS,NY,CHEMUNG,"BIG FLATS,NY"
BRADFORD,NY,SCHUYLER,"BRADFORD,NY"
BREESPORT,NY,CHEMUNG,"BREESPORT,NY"
BROOKTONDALE,NY,TOMPKINS,"BROOKTONDALE,NY"
BURDETT,NY,SCHUYLER,"BURDETT,NY"
