AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AcceptsInsurance,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
None,None,None,Yes,None,None,None,Casual,None,None,None,None,No,None,Yes,None,None,11:00 am - 12:00 am,None,None,None,None,None,None,None,None,11:00 am - 11:00 pm,None,Quiet,None,None,None,11:00 am - 12:00 am,None,11:00 am - 11:00 pm,Yes,No,11:00 am - 11:00 pm,11:00 am - 11:00 pm,None,11:00 am - 11:00 pm,No,None,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,pizza-hut-albuquerque-18,35.145428613,-106.587286046,2.0,1.0,None,None,None,1,"Pizza,Italian,ChickenWings",Pizza Hut,https://www.yelp.com/biz/pizza-hut-albuquerque-18?osq=food
None,No,None,Yes,None,Beer&WineOnly,Casual,Casual,None,No,None,None,No,None,No,None,None,11:00 am - 9:30 pm,Dinner,None,Yes,Yes,None,None,None,No,11:00 am - 9:00 pm,None,Quiet,None,No,PrivateLot,11:00 am - 9:30 pm,None,Closed,Yes,No,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,None,No,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,four-joys-chinese-restaurant-albuquerque,35.1451094,-106.6399857,1.0,3.5,chopstix-chinese-cuisine-albuquerque,328-chinese-cuisine-albuquerque,budai-gourmet-chinese-albuquerque,32,Chinese,Four Joys Chinese Restaurant,https://www.yelp.com/biz/four-joys-chinese-restaurant-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,giant-albuquerque-2,35.1511688232,-106.587242126,None,None,None,None,None,None,None,Giant,https://www.yelp.com/biz/giant-albuquerque-2?osq=food
None,None,None,Yes,None,None,None,Casual,None,Yes,None,None,None,None,No,None,Yes,None,Lunch,None,Yes,Yes,None,None,None,Yes,None,None,None,None,No,None,None,None,None,Yes,No,None,None,No,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,popeyes-louisana-kitchen-albuquerque,35.128703,-106.585997,1.0,3.0,churchs-chicken-albuquerque-6,whataburger-albuquerque-4,wienerschnitzel-albuquerque-3,8,FastFood,Popeyes Louisana Kitchen,https://www.yelp.com/biz/popeyes-louisana-kitchen-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,gardunos-of-mexico-albuquerque-5,35.1922323,-106.599122,None,None,pereas-tijuana-bar-corrales,tacos-mex-y-mariscos-albuquerque,fiestas-albuquerque,None,None,Garduno’s of Mexico,https://www.yelp.com/biz/gardunos-of-mexico-albuquerque-5?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,lees-asion-buffet-los-ranchos-nm,35.157633,-106.6343424,None,None,four-joys-chinese-restaurant-albuquerque,siam-cafe-albuquerque,saigon-restaurant-albuquerque,None,None,Lee’s Asion Buffet,https://www.yelp.com/biz/lees-asion-buffet-los-ranchos-nm?osq=food
None,None,None,Yes,None,None,None,None,None,No,None,None,Yes,None,None,None,None,12:30 pm - 6:00 pm,None,None,None,None,None,None,None,None,12:30 pm - 6:00 pm,None,None,None,None,PrivateLot,Closed,None,Closed,Yes,None,12:30 pm - 6:00 pm,12:30 pm - 6:00 pm,None,12:30 pm - 6:00 pm,Yes,None,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,the-cornivore-popcorn-company-albuquerque,35.1168493768,-106.614420712,1.0,5.0,None,None,None,9,PopcornShops,The Cornivore Popcorn Company,https://www.yelp.com/biz/the-cornivore-popcorn-company-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,m-j-g-albuquerque,35.152018,-106.584997,None,None,san-pedro-middle-east-restaurant-albuquerque,nexus-brewery-albuquerque,canteen-brewhouse-albuquerque,None,None,M J G,https://www.yelp.com/biz/m-j-g-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,farmer-brothers-coffee-company-albuquerque,35.1478495,-106.6015658,None,None,the-grove-cafe-and-market-albuquerque,satellite-coffee-albuquerque-5,hadleys-tea-albuquerque,None,None,Farmer Brothers Coffee Company,https://www.yelp.com/biz/farmer-brothers-coffee-company-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,subway-albuquerque-47,35.1245352861,-106.586860525,None,None,None,None,None,None,None,Subway,https://www.yelp.com/biz/subway-albuquerque-47?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,bobs-pizza-company-albuquerque,35.1307633,-106.5894146,None,None,il-vicino-wood-oven-pizza-albuquerque,carraros-pizza-and-italian-restaurant-albuquerque,scarpas-2-albuquerque,None,None,Bobs Pizza Company,https://www.yelp.com/biz/bobs-pizza-company-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,little-mexico-grill-albuquerque,35.1313296,-106.5766799,None,None,tacos-mex-y-mariscos-albuquerque,papa-nachos-albuquerque,monroes-restaurant-albuquerque-2,None,None,Little Mexico Grill,https://www.yelp.com/biz/little-mexico-grill-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,salad-bowl-albuquerque,35.1490297,-106.5848172,None,None,vinaigrette-albuquerque-2,wisepies-albuquerque-6,None,None,None,Salad Bowl,https://www.yelp.com/biz/salad-bowl-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,grandys-country-cookin-albuquerque-2,35.128703,-106.585997,None,None,None,None,None,None,None,Grandy’s Country Cookin,https://www.yelp.com/biz/grandys-country-cookin-albuquerque-2?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,pinocchios-a-taste-of-italy-albuquerque,35.126399,-106.6046765,None,None,capos-italian-restaurants-albuquerque,paisanos-albuquerque,joes-pasta-house-rio-rancho-2,None,None,Pinocchios A Taste of Italy,https://www.yelp.com/biz/pinocchios-a-taste-of-italy-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,cafe-bodega-albuquerque,35.1313136,-106.5969759,None,None,village-pizza-corrales,aldos-pizzeria-rio-rancho-2,sal-e-boys-pizzeria-rio-rancho,None,None,Cafe Bodega,https://www.yelp.com/biz/cafe-bodega-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,china-gourmet-albuquerque,35.1293311,-106.5905162,None,None,fu-yuang-korean-and-chinese-restaurant-albuquerque,chopstix-chinese-cuisine-albuquerque,328-chinese-cuisine-albuquerque,None,None,China Gourmet,https://www.yelp.com/biz/china-gourmet-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,little-china-teriyaki-albuquerque,35.1300613,-106.5654781,None,None,ming-dynasty-albuquerque,fu-yuang-korean-and-chinese-restaurant-albuquerque,328-chinese-cuisine-albuquerque,None,None,Little China Teriyaki,https://www.yelp.com/biz/little-china-teriyaki-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,purple-afternoon-cafe-albuquerque,35.1454414,-106.5848429,None,None,None,None,None,None,None,Purple Afternoon Cafe,https://www.yelp.com/biz/purple-afternoon-cafe-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,assets-grille-and-brewing-company-albuquerque,35.1300145,-106.5698934,None,None,scarpas-albuquerque,billys-long-bar-albuquerque,slate-street-cafe-albuquerque,None,None,Assets Grille & Brewing Company,https://www.yelp.com/biz/assets-grille-and-brewing-company-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,hot-diggity-albuquerque,35.142805,-106.626147,None,None,duran-central-pharmacy-albuquerque,66-diner-albuquerque,mannies-family-restaurant-albuquerque,None,None,Hot Diggity,https://www.yelp.com/biz/hot-diggity-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,gardunos-los-ranchos,35.180105,-106.62604,None,None,None,None,None,None,None,Garduno’s,https://www.yelp.com/biz/gardunos-los-ranchos?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,popeyes-chicken-and-biscuits-albuquerque-7,35.1289354646,-106.586091604,None,None,None,None,None,None,None,Popeyes Chicken and Biscuits,https://www.yelp.com/biz/popeyes-chicken-and-biscuits-albuquerque-7?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,aragons-new-mexican-carry-out-albuquerque,35.1366349,-106.64162,None,None,None,None,None,None,None,Aragon’s New Mexican Carry Out,https://www.yelp.com/biz/aragons-new-mexican-carry-out-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,cocina-de-don-simon-albuquerque,35.14199,-106.626356,None,None,pereas-tijuana-bar-corrales,mcdonalds-albuquerque,little-anitas-albuquerque-16,None,None,Cocina De Don Simon,https://www.yelp.com/biz/cocina-de-don-simon-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,grandmas-restaurant-albuquerque,35.152716,-106.630426,None,None,ben-michaels-restaurant-albuquerque,monroes-restaurant-albuquerque,frontier-restaurant-albuquerque-2,None,None,Grandma’s Restaurant,https://www.yelp.com/biz/grandmas-restaurant-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,moreys-seafood-intl-albuquerque,35.1232372,-106.6146956,None,None,tucanos-brazilian-grill-albuquerque,antiquity-restaurant-albuquerque,town-house-dining-room-albuquerque,None,None,Morey’s Seafood Int’l,https://www.yelp.com/biz/moreys-seafood-intl-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,taqueria-el-festival-albuquerque,35.1291134,-106.6428442,None,None,monroes-restaurant-albuquerque,la-placita-dining-rooms-albuquerque,church-street-caf%C3%A9-albuquerque-3,None,None,Taqueria El Festival,https://www.yelp.com/biz/taqueria-el-festival-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,ninji-sushi-bar-albuquerque,35.1309121,-106.5775599,None,None,sushi-hama-japanese-restaurant-albuquerque,i-love-sushi-albuquerque,magokoro-albuquerque-2,None,None,Ninji Sushi Bar,https://www.yelp.com/biz/ninji-sushi-bar-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,harrigans-restaurant-albuquerque,35.1305888,-106.5893686,None,None,the-county-line-albuquerque,None,None,None,None,Harrigans Restaurant,https://www.yelp.com/biz/harrigans-restaurant-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,midori-sushi-albuquerque,35.1310678,-106.5768753,None,None,monroes-restaurant-albuquerque,olympia-cafe-albuquerque,None,None,None,Midori Sushi,https://www.yelp.com/biz/midori-sushi-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,taste-of-china-albuquerque,35.1344528,-106.5865459,None,None,pizza-9-albuquerque-2,china-city-restaurant-albuquerque,None,None,None,Taste of China,https://www.yelp.com/biz/taste-of-china-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,south-of-santa-fe-grill-and-gifts-albuquerque,35.1309121,-106.5775599,None,None,None,None,None,None,None,South of Santa Fe Grill and Gifts,https://www.yelp.com/biz/south-of-santa-fe-grill-and-gifts-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,emilies-french-restaurant-albuquerque,35.130911,-106.5775213,None,None,la-cr%C3%AApe-michel-albuquerque-2,chez-axel-albuquerque,st-clair-winery-and-bistro-albuquerque,None,None,Emilie’s French Restaurant,https://www.yelp.com/biz/emilies-french-restaurant-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,de-fries-peter-corporation-albuquerque,35.181416,-106.592658,None,None,ichiban-japanese-restaurant-albuquerque-2,jimmys-cafe-on-jefferson-albuquerque,namaste-rio-rancho,None,None,De Fries Peter Corporation,https://www.yelp.com/biz/de-fries-peter-corporation-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,excel-new-mexican-foods-albuquerque,35.1178561,-106.6139799,None,None,None,None,None,None,None,Excel New Mexican Foods,https://www.yelp.com/biz/excel-new-mexican-foods-albuquerque?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,new-mexico-restoration-albuquerque-2,35.19316,-106.59753,None,None,None,None,None,None,None,New Mexico Restoration,https://www.yelp.com/biz/new-mexico-restoration-albuquerque-2?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,general-nutrition-albuquerque,35.1488649,-106.5835269,None,None,la-monta%C3%B1ita-co-op-albuquerque-5,zeus-juice-and-nutrition-albuquerque,gnc-health-haven-albuquerque,None,None,General Nutrition,https://www.yelp.com/biz/general-nutrition-albuquerque?osq=food
None,None,None,Yes,None,None,None,None,None,No,None,None,None,None,Yes,None,None,8:00 am - 7:00 pm,None,None,None,None,None,None,None,None,8:00 am - 7:00 pm,None,None,None,None,None,8:00 am - 5:00 pm,None,9:00 am - 2:00 pm,Yes,None,8:00 am - 7:00 pm,8:00 am - 7:00 pm,None,8:00 am - 7:00 pm,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,edible-arrangements-albuquerque,35.129328,-106.58889,2.0,1.0,silver-springs-floral-and-gift-albuquerque,peoples-flower-shops-albuquerque-14,mauldins-flowers-albuquerque-2,2,"GiftShops,Florists,Chocolatiers&Shops",Edible Arrangements,https://www.yelp.com/biz/edible-arrangements-albuquerque?osq=food
No,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,No,None,Yes,5:30 am - 10:00 pm,Breakfast,None,Yes,Yes,None,None,None,No,5:30 am - 9:00 pm,None,Average,None,Yes,PrivateLot,5:30 am - 10:00 pm,None,5:30 am - 9:00 pm,Yes,No,5:30 am - 9:00 pm,5:30 am - 9:00 pm,No,5:30 am - 9:00 pm,None,Free,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,twisters-burgers-and-burritos-albuquerque-8,35.1763115,-106.5605905,1.0,3.5,jimmys-cafe-on-jefferson-albuquerque,papa-nachos-albuquerque,vics-daily-cafe-albuquerque,20,"Mexican,Breakfast&Brunch,Burgers",Twisters Burgers and Burritos,https://www.yelp.com/biz/twisters-burgers-and-burritos-albuquerque-8?osq=food
None,No,None,Yes,None,No,"Divey,Casual",Casual,None,Yes,None,None,Yes,None,Yes,None,None,11:00 am - 10:00 pm,"Lunch,Dinner",None,Yes,Yes,None,None,None,Yes,11:00 am - 9:00 pm,None,Average,None,Yes,PrivateLot,11:00 am - 10:00 pm,None,11:00 am - 9:00 pm,Yes,No,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No,11:00 am - 9:00 pm,Yes,No,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,ginos-new-york-style-pizza-albuquerque,35.12606,-106.5860359,1.0,3.0,il-vicino-wood-oven-pizza-albuquerque,giovannis-pizzeria-albuquerque,straight-up-pizza-albuquerque,44,Pizza,Gino’s New York Style Pizza,https://www.yelp.com/biz/ginos-new-york-style-pizza-albuquerque?osq=food
None,None,None,Yes,None,None,None,Casual,None,Yes,None,None,None,None,No,None,Yes,None,None,None,Yes,Yes,None,None,None,No,None,None,None,None,No,None,None,None,None,Yes,No,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,arbys-albuquerque-6,35.1755972,-106.5927742,1.0,2.5,subway-bernalillo-2,napoli-coffee-albuquerque,satellite-coffee-albuquerque-2,4,"FastFood,Sandwiches",Arby’s,https://www.yelp.com/biz/arbys-albuquerque-6?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,No,None,None,None,None,None,Yes,Yes,None,None,None,No,None,None,Average,None,No,None,None,None,None,Yes,No,None,None,Yes,None,Yes,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,furrs-fresh-buffet-albuquerque,35.1375406,-106.5872365,2.0,1.5,vics-daily-cafe-albuquerque,tomato-cafe-albuquerque,sweet-tomatoes-albuquerque-2,23,"American(Traditional),Buffets",Furr’s Fresh Buffet,https://www.yelp.com/biz/furrs-fresh-buffet-albuquerque?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,Yes,None,None,8:00 am - 2:00 pm,Lunch,None,No,Yes,None,None,None,No,8:00 am - 2:00 pm,None,Average,None,No,None,8:00 am - 2:00 pm,None,Closed,Yes,Yes,8:00 am - 2:00 pm,8:00 am - 2:00 pm,No,8:00 am - 2:00 pm,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,krazy-lizard-albuquerque-3,35.1464678415,-106.596420152,1.0,3.5,las-ristras-corrales,None,None,7,Mexican,Krazy Lizard,https://www.yelp.com/biz/krazy-lizard-albuquerque-3?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,papa-johns-pizza-albuquerque-7,35.1751057,-106.5608771,None,1.0,giovannis-pizzeria-albuquerque,dominos-pizza-albuquerque-9,brickyard-pizza-albuquerque,1,Pizza,Papa John’s Pizza,https://www.yelp.com/biz/papa-johns-pizza-albuquerque-7?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,No,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,No,None,None,None,None,No,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,pizza-hut-albuquerque-17,35.1462661,-106.5543194,None,None,None,None,None,None,None,Pizza Hut,https://www.yelp.com/biz/pizza-hut-albuquerque-17?osq=food
None,None,None,Yes,None,None,None,Casual,None,None,None,None,None,None,No,None,Yes,None,None,None,Yes,Yes,None,None,None,Yes,None,None,None,None,No,None,None,None,None,Yes,No,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,mcdonalds-albuquerque-35,35.1311648,-106.552459,1.0,3.5,applebees-albuquerque-11,the-horse-and-angel-tavern-albuquerque,dairy-queen-albuquerque-9,2,"Burgers,FastFood",McDonald’s,https://www.yelp.com/biz/mcdonalds-albuquerque-35?osq=food
None,Yes,None,Yes,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,PrivateLot,None,None,None,Yes,None,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,donut-mart-albuquerque-2,35.1310816,-106.5923659,1.0,4.5,dunkin-donuts-albuquerque-8,krispy-kreme-doughnuts-albuquerque-2,rebel-donut-albuquerque-4,12,Donuts,Donut Mart,https://www.yelp.com/biz/donut-mart-albuquerque-2?osq=food
None,No,No,Yes,None,Beer&WineOnly,None,None,None,Yes,None,None,Yes,None,No,Yes,None,9:00 am - 11:00 pm,None,None,None,Yes,None,None,None,Yes,4:30 pm - 11:00 pm,None,None,None,Yes,"Street,PrivateLot",8:00 am - 11:00 pm,None,12:00 pm - 11:00 pm,Yes,No,9:00 am - 11:00 pm,9:00 am - 11:00 pm,Yes,9:00 am - 11:00 pm,Yes,Free,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,pks-restaurant-and-bar-albuquerque,35.170524,-106.60866,None,None,None,None,None,None,None,PK’s Restaurant & Bar,https://www.yelp.com/biz/pks-restaurant-and-bar-albuquerque?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,No,None,No,None,None,Open 24 hours,None,None,Yes,Yes,None,None,None,No,Open 24 hours,None,Loud,None,No,PrivateLot,Open 24 hours,None,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,Yes,No,NM Albuquerque Business_Parkway/Academy_Acres,Claimed,None,ihop-albuquerque-12,35.1351202,-106.6111081,2.0,3.5,jimmys-cafe-on-jefferson-albuquerque,village-inn-albuquerque-17,frontier-restaurant-albuquerque-2,10,"Breakfast&Brunch,American(Traditional)",IHOP,https://www.yelp.com/biz/ihop-albuquerque-12?osq=food
None,None,None,Yes,None,None,None,Casual,None,None,None,None,None,None,No,None,None,9:00 am - 10:00 pm,None,None,None,Yes,None,None,None,None,9:00 am - 10:00 pm,None,None,None,None,None,9:00 am - 10:00 pm,None,9:00 am - 9:00 pm,Yes,No,9:00 am - 10:00 pm,9:00 am - 10:00 pm,None,9:00 am - 10:00 pm,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,arbys-albuquerque-11,35.1457584,-106.5856381,2.0,2.0,arbys-roast-beef-restaurants-albuquerque,whataburger-albuquerque-2,jasons-deli-albuquerque,4,"FastFood,Sandwiches",Arby’s,https://www.yelp.com/biz/arbys-albuquerque-11?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,No,None,None,None,None,None,None,NM Albuquerque Business_Parkway/Academy_Acres,Unclaimed,None,subway-albuquerque-13,35.1866989604,-106.58602953,None,None,millys-sandwich-shop-albuquerque-4,jasons-deli-albuquerque,saras-pastries-and-deli-albuquerque,None,None,Subway,https://www.yelp.com/biz/subway-albuquerque-13?osq=food
